Run,Alias,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSourceProvider,Broker_name,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,description,DevelopmentalStage,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,Genotype,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,OrganismPart,Platform,ReleaseDate,Sample Name,Sample_Name,SRA_accession,SRA Study,StrainOrLine,title
ERR032203,E-MTAB-599:c57xdba_Liver1,EST,152,4354591152,PRJEB2476,SAMEA797732,Jackson laboratory,ArrayExpress,3540258008,SC,public,"sra,srf","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Protocols: Mouse tissues where obtained from 8 weeks old mice from the Jackson lab Maine USA. Total RNA extraction using trizol as per manufacturer instructions,adult,2011-04-09,2018-11-16,ERX012370,wild_type,SC,Wellcome Sanger Institute,2011-04-09T17:00:14Z,2018-03-08T15:25:57Z,public,Illumina Genome Analyzer,c57xdba_Liver1 139639,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,liver,ILLUMINA,2011-04-09T00:00:00Z,SAMEA797732,ERS026496,ERS026496,ERP000591,DBAxC57BL/6J,c57xdba_Liver1
ERR032204,E-MTAB-599:c57xdba_Liver2,EST,152,4553770584,PRJEB2476,SAMEA797722,Jackson laboratory,ArrayExpress,3652664519,SC,public,"sra,srf","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Protocols: Mouse tissues where obtained from 8 weeks old mice from the Jackson lab Maine USA. Total RNA extraction using trizol as per manufacturer instructions,adult,2011-04-09,2018-11-16,ERX012346,wild_type,SC,Wellcome Sanger Institute,2011-04-09T17:00:14Z,2018-03-08T15:25:56Z,public,Illumina Genome Analyzer,c57xdba_Liver2 139640,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,liver,ILLUMINA,2011-04-09T00:00:00Z,SAMEA797722,ERS026472,ERS026472,ERP000591,DBAxC57BL/6J,c57xdba_Liver2
ERR032205,E-MTAB-599:c57xdba_Liver3,EST,152,4453894424,PRJEB2476,SAMEA797695,Jackson laboratory,ArrayExpress,3298239283,SC,public,"sra,srf","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Protocols: Mouse tissues where obtained from 8 weeks old mice from the Jackson lab Maine USA. Total RNA extraction using trizol as per manufacturer instructions,adult,2011-04-09,2018-11-16,ERX012377,wild_type,SC,Wellcome Sanger Institute,2011-04-09T17:00:14Z,2018-03-08T15:25:58Z,public,Illumina Genome Analyzer,c57xdba_Liver3 139641,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,liver,ILLUMINA,2011-04-09T00:00:00Z,SAMEA797695,ERS026503,ERS026503,ERP000591,DBAxC57BL/6J,c57xdba_Liver3
ERR032206,E-MTAB-599:c57xdba_Liver4,EST,152,4680997016,PRJEB2476,SAMEA797691,Jackson laboratory,ArrayExpress,3430103604,SC,public,"sra,srf","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Protocols: Mouse tissues where obtained from 8 weeks old mice from the Jackson lab Maine USA. Total RNA extraction using trizol as per manufacturer instructions,adult,2011-04-09,2018-11-16,ERX012375,wild_type,SC,Wellcome Sanger Institute,2011-04-09T17:00:14Z,2018-03-08T15:25:58Z,public,Illumina Genome Analyzer,c57xdba_Liver4 139642,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,liver,ILLUMINA,2011-04-09T00:00:00Z,SAMEA797691,ERS026501,ERS026501,ERP000591,DBAxC57BL/6J,c57xdba_Liver4
ERR032207,E-MTAB-599:c57xdba_Liver5,EST,152,4760828480,PRJEB2476,SAMEA797730,Jackson laboratory,ArrayExpress,3514997581,SC,public,"sra,srf","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Protocols: Mouse tissues where obtained from 8 weeks old mice from the Jackson lab Maine USA. Total RNA extraction using trizol as per manufacturer instructions,adult,2011-04-09,2018-11-16,ERX012364,wild_type,SC,Wellcome Sanger Institute,2011-04-09T17:00:14Z,2018-03-08T15:25:57Z,public,Illumina Genome Analyzer,c57xdba_Liver5 139643,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,liver,ILLUMINA,2011-04-09T00:00:00Z,SAMEA797730,ERS026490,ERS026490,ERP000591,DBAxC57BL/6J,c57xdba_Liver5
ERR032208,E-MTAB-599:c57xdba_Liver6,EST,152,4771224824,PRJEB2476,SAMEA797714,Jackson laboratory,ArrayExpress,3600190645,SC,public,"sra,srf","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Protocols: Mouse tissues where obtained from 8 weeks old mice from the Jackson lab Maine USA. Total RNA extraction using trizol as per manufacturer instructions,adult,2011-04-09,2018-11-16,ERX012361,wild_type,SC,Wellcome Sanger Institute,2011-04-09T17:00:14Z,2018-03-08T15:25:57Z,public,Illumina Genome Analyzer,c57xdba_Liver6 139644,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,liver,ILLUMINA,2011-04-09T00:00:00Z,SAMEA797714,ERS026487,ERS026487,ERP000591,DBAxC57BL/6J,c57xdba_Liver6
ERR032209,E-MTAB-599:c57xdba_Spleen1,EST,152,3351437360,PRJEB2476,SAMEA797726,Jackson laboratory,ArrayExpress,2672626127,SC,public,"sra,srf","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Protocols: Mouse tissues where obtained from 8 weeks old mice from the Jackson lab Maine USA. Total RNA extraction using trizol as per manufacturer instructions,adult,2011-04-09,2018-11-16,ERX012372,wild_type,SC,Wellcome Sanger Institute,2011-04-09T17:00:14Z,2018-03-08T15:25:58Z,public,Illumina Genome Analyzer,c57xdba_Spleen1 140968,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,spleen,ILLUMINA,2011-04-09T00:00:00Z,SAMEA797726,ERS026498,ERS026498,ERP000591,DBAxC57BL/6J,c57xdba_Spleen1
ERR032210,E-MTAB-599:c57xdba_Spleen2,EST,152,3828543320,PRJEB2476,SAMEA797712,Jackson laboratory,ArrayExpress,3053185327,SC,public,"sra,srf","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Protocols: Mouse tissues where obtained from 8 weeks old mice from the Jackson lab Maine USA. Total RNA extraction using trizol as per manufacturer instructions,adult,2011-04-09,2018-11-16,ERX012359,wild_type,SC,Wellcome Sanger Institute,2011-04-09T17:00:14Z,2018-03-08T15:25:57Z,public,Illumina Genome Analyzer,c57xdba_Spleen2 140969,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,spleen,ILLUMINA,2011-04-09T00:00:00Z,SAMEA797712,ERS026485,ERS026485,ERP000591,DBAxC57BL/6J,c57xdba_Spleen2
ERR032211,E-MTAB-599:c57xdba_Spleen3,EST,152,3680311856,PRJEB2476,SAMEA797711,Jackson laboratory,ArrayExpress,2886330098,SC,public,"sra,srf","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Protocols: Mouse tissues where obtained from 8 weeks old mice from the Jackson lab Maine USA. Total RNA extraction using trizol as per manufacturer instructions,adult,2011-04-09,2018-11-16,ERX012356,wild_type,SC,Wellcome Sanger Institute,2011-04-09T17:00:14Z,2018-03-08T15:25:57Z,public,Illumina Genome Analyzer,c57xdba_Spleen3 140970,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,spleen,ILLUMINA,2011-04-09T00:00:00Z,SAMEA797711,ERS026482,ERS026482,ERP000591,DBAxC57BL/6J,c57xdba_Spleen3
ERR032212,E-MTAB-599:c57xdba_Spleen4,EST,152,2629037296,PRJEB2476,SAMEA797723,Jackson laboratory,ArrayExpress,1907911621,SC,public,"sra,srf","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Protocols: Mouse tissues where obtained from 8 weeks old mice from the Jackson lab Maine USA. Total RNA extraction using trizol as per manufacturer instructions,adult,2011-04-09,2018-11-16,ERX012347,wild_type,SC,Wellcome Sanger Institute,2011-04-09T17:00:14Z,2018-03-08T15:25:56Z,public,Illumina Genome Analyzer,c57xdba_Spleen4 140971,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,spleen,ILLUMINA,2011-04-09T00:00:00Z,SAMEA797723,ERS026473,ERS026473,ERP000591,DBAxC57BL/6J,c57xdba_Spleen4
ERR032213,E-MTAB-599:c57xdba_Spleen5,EST,152,4847540376,PRJEB2476,SAMEA797731,Jackson laboratory,ArrayExpress,3964273485,SC,public,"sra,srf","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",Protocols: Mouse tissues where obtained from 8 weeks old mice from the Jackson lab Maine USA. Total RNA extraction using trizol as per manufacturer instructions,adult,2011-04-09,2018-11-16,ERX012365,wild_type,SC,Wellcome Sanger Institute,2011-04-09T17:00:14Z,2018-03-08T15:25:57Z,public,Illumina Genome Analyzer,c57xdba_Spleen5 140972,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,spleen,ILLUMINA,2011-04-09T00:00:00Z,SAMEA797731,ERS026491,ERS026491,ERP000591,DBAxC57BL/6J,c57xdba_Spleen5
