Data origin,Accession nr.,Run_ID,Organism,Strain,Sex,Tissue,Age,Gene,Isoform,CPM
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032203,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,TCF4-B,0
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032203,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,TCF4-C,0
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032203,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,4-5,0.562181805098314
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032203,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,TCF4-Q,0
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032203,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,5-6,0.240935059327849
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032203,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,6-7,0.401558432213082
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032203,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,TCF4-D,0
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032203,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,7-8,0.321246745770465
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032203,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,DELTA,0
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032203,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,8-9,0.321246745770465
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032203,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,9-10,0.481870118655698
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032203,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,TCF4-A,0.160623372885233
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032203,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,TCF4-I,0
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032203,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,TCF4-H,0
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032203,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,TOTAL TCF4,0.6906805034065
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032203,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,20-21,0.642493491540931
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032204,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,TCF4-B,0
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032204,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,TCF4-C,0
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032204,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,4-5,0.356898050572882
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032204,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,TCF4-Q,0
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032204,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,5-6,0.499657270802035
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032204,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,6-7,0.285518440458306
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032204,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,TCF4-D,0.142759220229153
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032204,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,7-8,0.356898050572882
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032204,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,DELTA,0
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032204,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,8-9,0.499657270802035
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032204,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,9-10,0.428277660687458
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032204,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,TCF4-A,0.0713796101145764
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032204,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,TCF4-I,0
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032204,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,TCF4-H,0
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032204,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,TOTAL TCF4,0.621002607996815
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032204,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,20-21,0.927934931489493
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032205,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,TCF4-B,0.0715520395837331
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032205,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,TCF4-C,0.0715520395837331
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032205,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,4-5,0.0715520395837331
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032205,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,TCF4-Q,0
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032205,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,5-6,0.286208158334933
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032205,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,6-7,0.500864277086132
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032205,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,TCF4-D,0
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032205,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,7-8,0.500864277086132
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032205,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,DELTA,0
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032205,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,8-9,0.429312237502399
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032205,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,9-10,0.500864277086132
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032205,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,TCF4-A,0.286208158334933
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032205,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,TCF4-I,0
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032205,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,TCF4-H,0
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032205,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,TOTAL TCF4,0.601037132503358
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032205,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,20-21,1.073280593756
"Keane, T., Goodstadt, L., Danecek, P. et al. (2011)",E-MTAB-599,ERR032206,Mus musculus,DBAxC57BL/6J,Female,liver,P56,Tcf4,TCF4-B,0.203892955382852
